iter	Logloss
0	0.6805051992
1	0.6699126711
2	0.657659632
3	0.6483904735
4	0.6372448634
5	0.6268242597
6	0.6175758086
7	0.6088948538
8	0.6012975111
9	0.5936076738
10	0.5863548222
11	0.5803669781
12	0.5730752793
13	0.5681099334
14	0.5615352685
15	0.5559385962
16	0.5514204901
17	0.547531578
18	0.5420853858
19	0.5389213048
20	0.5352131355
21	0.5305030915
22	0.5259385347
23	0.5232160133
24	0.5196942525
25	0.5161091182
26	0.5131522183
27	0.5108185263
28	0.508691773
29	0.5056182897
30	0.5023627654
31	0.4997714739
32	0.4978634408
33	0.4949461219
34	0.4921479107
35	0.4899335559
36	0.4877446266
37	0.4858655885
38	0.4840995346
39	0.4822860499
40	0.4805862733
41	0.4788002123
42	0.4773815169
43	0.4757259995
44	0.4746384835
45	0.4729030557
46	0.4715984474
47	0.4700252807
48	0.468722091
49	0.4669634126
50	0.4657364571
51	0.4645528556
52	0.4637050836
53	0.462495393
54	0.4610792634
55	0.4599620801
56	0.4593435402
57	0.4582080009
58	0.4572711222
59	0.4564177202
60	0.4557241255
61	0.4547326061
62	0.453748692
63	0.4528663546
64	0.4521965328
65	0.4510848992
66	0.4505687906
67	0.4499768014
68	0.4495048686
69	0.4487327955
70	0.4481534447
71	0.4475570887
72	0.4469472276
73	0.4463588865
74	0.4455902359
75	0.4448897573
76	0.4443038522
77	0.4437557647
78	0.4430867027
79	0.4427487069
80	0.4422056273
81	0.4418278563
82	0.4413855823
83	0.4408031062
84	0.4403239459
85	0.4399946199
86	0.4394591902
87	0.4390687108
88	0.4386237925
89	0.4383031421
90	0.4379132576
91	0.4375099337
92	0.4368820533
93	0.4365416612
94	0.4361495908
95	0.4356795601
96	0.4352460112
97	0.4347602395
98	0.4344933722
99	0.4341233978
100	0.4338852219
101	0.4335959766
102	0.4333351522
103	0.4330914924
104	0.4327771418
105	0.4324700213
106	0.4322348775
107	0.4318145706
108	0.4316281492
109	0.4313815693
110	0.4310563386
111	0.4307446505
112	0.4305069447
113	0.4302236713
114	0.4300099111
115	0.4297224574
116	0.4295159125
117	0.4293692555
118	0.4289778888
119	0.4287297283
120	0.4283732386
121	0.4280728601
122	0.4276262647
123	0.4273852805
124	0.4272127554
125	0.4270840919
126	0.4268945517
127	0.4265411658
128	0.4263447083
129	0.4261281818
130	0.42592473
131	0.4257549471
132	0.4255854464
133	0.4253180775
134	0.4251319847
135	0.4249392759
136	0.4247232073
137	0.4243903162
138	0.424199359
139	0.4239192678
140	0.423711887
141	0.4234613702
142	0.4230666789
143	0.4228587854
144	0.4227175922
145	0.4224560115
146	0.4221883688
147	0.4220149488
148	0.4218121642
149	0.4215767895
150	0.4213663425
151	0.4211964377
152	0.4210865152
153	0.4209304687
154	0.4208041296
155	0.4206854127
156	0.4205280018
157	0.4203323346
158	0.4202043369
159	0.4200746194
160	0.419892718
161	0.4197008611
162	0.4195848533
163	0.4194698112
164	0.4193048101
165	0.4191575655
166	0.4190574122
167	0.4188539868
168	0.4187238751
169	0.4185665657
170	0.418370268
171	0.4182194737
172	0.4179429666
173	0.4178234951
174	0.417687063
175	0.4174355987
176	0.417279453
177	0.4171024402
178	0.416969041
179	0.4168662521
180	0.4166812476
181	0.4165488925
182	0.4164602752
183	0.4163037812
184	0.4162066527
185	0.4160765978
186	0.4158899214
187	0.4157822251
188	0.4156696388
189	0.4155207705
190	0.4153996418
191	0.4152689667
192	0.4151651813
193	0.4150259545
194	0.4149360162
195	0.41482762
196	0.4147074031
197	0.4146022376
198	0.4144913329
199	0.4143716528
200	0.4142162881
201	0.4141039028
202	0.4139814259
203	0.4138681729
204	0.4136775061
205	0.4136167262
206	0.4134814974
207	0.4133176381
208	0.4132420303
209	0.4131519678
210	0.4130576338
211	0.4128934464
212	0.4128731704
213	0.4127346578
214	0.4126413324
215	0.4125691875
216	0.4124542955
217	0.4123698022
218	0.4122555694
219	0.4121510363
220	0.412029806
221	0.411911114
222	0.4118286653
223	0.4115731451
224	0.4114483822
225	0.4113222275
226	0.4112252245
227	0.4111473689
228	0.4110512137
229	0.4109536972
230	0.4107858363
231	0.4106710539
232	0.410585726
233	0.4104892044
234	0.4103853178
235	0.4102693704
236	0.4101841421
237	0.4100628696
238	0.4099565685
239	0.4098478278
240	0.4097534101
241	0.4096808125
242	0.4095592886
243	0.4094442386
244	0.4093143076
245	0.4091920153
246	0.4091102307
247	0.4089647445
248	0.4088570147
249	0.4087738696
250	0.4086486077
251	0.4085627145
252	0.4084593807
253	0.4083544078
254	0.4082836375
255	0.4082257259
256	0.4081160296
257	0.4080166576
258	0.4079363192
259	0.407886886
260	0.4077269861
261	0.4075983549
262	0.4075028663
263	0.407417433
264	0.4072207063
265	0.4071367759
266	0.4070573251
267	0.4069740899
268	0.406921071
269	0.4068221029
270	0.4067539126
271	0.4066388504
272	0.4065163099
273	0.4063893929
274	0.4062963507
275	0.4061150074
276	0.4060016171
277	0.4059033281
278	0.405780378
279	0.4056822915
280	0.4056191569
281	0.4055312518
282	0.4054537058
283	0.4053806383
284	0.4052536952
285	0.4051357271
286	0.405077871
287	0.4049110521
288	0.4048056806
289	0.4047005274
290	0.404556087
291	0.4044240984
292	0.4043458294
