iter	Passed	Remaining
0	8	8898
1	15	7722
2	24	8129
3	32	8132
4	44	8794
5	53	8784
6	59	8497
7	65	8142
8	70	7782
9	76	7591
10	83	7473
11	89	7406
12	96	7301
13	101	7174
14	107	7058
15	112	6934
16	118	6846
17	123	6737
18	128	6647
19	134	6580
20	140	6550
21	147	6555
22	153	6512
23	158	6462
24	164	6407
25	169	6354
26	174	6300
27	180	6262
28	186	6238
29	192	6210
30	197	6187
31	203	6167
32	210	6166
33	217	6177
34	223	6172
35	232	6213
36	241	6282
37	248	6292
38	254	6283
39	262	6302
40	270	6333
41	277	6329
42	283	6309
43	289	6290
44	295	6261
45	301	6246
46	306	6221
47	312	6188
48	317	6155
49	323	6152
50	329	6129
51	335	6123
52	342	6111
53	348	6098
54	354	6088
55	360	6068
56	365	6053
57	372	6043
58	377	6026
59	383	6007
60	389	5999
61	396	6002
62	403	6006
63	410	6002
64	416	5995
65	423	5987
66	429	5978
67	435	5969
68	441	5955
69	446	5938
70	453	5939
71	460	5940
72	467	5936
73	473	5929
74	480	5920
75	485	5905
76	491	5892
77	497	5880
78	503	5864
79	508	5848
80	514	5842
81	520	5829
82	526	5816
83	532	5804
84	537	5791
85	543	5775
86	549	5763
87	554	5746
88	559	5730
89	565	5719
90	571	5711
91	582	5744
92	591	5769
93	599	5781
94	606	5776
95	613	5780
96	624	5810
97	634	5835
98	640	5830
99	646	5821
100	653	5813
101	659	5808
102	666	5800
103	672	5789
104	679	5789
105	686	5786
106	692	5775
107	698	5767
108	713	5830
109	718	5817
110	724	5806
111	731	5800
112	737	5792
113	743	5781
114	749	5769
115	757	5774
116	766	5784
117	775	5797
118	784	5808
119	792	5812
120	798	5804
121	805	5797
122	811	5789
123	818	5781
124	824	5774
125	833	5782
126	841	5781
127	848	5780
128	856	5779
129	863	5778
130	871	5778
131	879	5783
132	887	5783
133	895	5785
134	903	5790
135	911	5791
136	918	5786
137	925	5783
138	932	5773
139	939	5771
140	946	5767
141	953	5764
142	961	5761
143	968	5758
144	975	5752
145	982	5745
146	988	5736
147	994	5727
148	1002	5723
149	1009	5720
150	1016	5716
151	1023	5710
152	1029	5700
153	1035	5690
154	1042	5681
155	1048	5673
156	1055	5665
